"viejo	nuevo"
"IDvivienda	IDvivienda"
"idhogar 	idhogar"
"P_NRO_PER	P_NRO_PER"
"H_AGUA_COCIN_1	H_AGUA_COCIN_C_Acueducto_publico"
"H_AGUA_COCIN_10	H_AGUA_COCIN_C_Aguatero"
"H_AGUA_COCIN_11	H_AGUA_COCIN_C_Agua_embotellada_o_en_bolsa"
"H_AGUA_COCIN_12	H_AGUA_COCIN_C_No_preparan_alimentos"
"H_AGUA_COCIN_22	H_AGUA_COCIN_C_Acueducto_veredal_y_Red_de_distribucion_comunitaria"
"H_AGUA_COCIN_4	H_AGUA_COCIN_C_Pozo_con_bomba"
"H_AGUA_COCIN_5	H_AGUA_COCIN_C_Pozo_sin_bomba_aljibe_jaguey_o_barreno"
"H_AGUA_COCIN_6	H_AGUA_COCIN_C_Agua_lluvia"
"H_AGUA_COCIN_7	H_AGUA_COCIN_C_Rio_quebrada_manantial_nacimiento"
"H_AGUA_COCIN_8	H_AGUA_COCIN_C_Pila_publica"
"H_AGUA_COCIN_9	H_AGUA_COCIN_C_Carrotanque"
"H_AGUA_COCIN_NA	H_AGUA_COCIN_C_NA"
"V_TIPO_SERSA_1	V_TIPO_SERSA_C_Inodoro_conectado_al_alcantarillado"
"V_TIPO_SERSA_2	V_TIPO_SERSA_C_Inodoro_conectado_a_pozo_septico"
"V_TIPO_SERSA_3	V_TIPO_SERSA_C_Inodoro_sin_conexion"
"V_TIPO_SERSA_4	V_TIPO_SERSA_C_Letrina"
"V_TIPO_SERSA_5	V_TIPO_SERSA_C_Inodoro_con_descarga_directa_a_fuentes_de_agua_bajamar"
"V_TIPO_SERSA_6	V_TIPO_SERSA_C_Esta_vivienda_No_tiene_servicio_sanitario"
"V_TIPO_SERSA_NA	V_TIPO_SERSA_C_NA"
"VA_EE_1	VA_EE_C_Si"
"VA_EE_2	VA_EE_C_No"
"VA_EE_NA	VA_EE_C_NA"
"V_MAT_PISO_1	V_MAT_PISO_C_Marmol_parquez_madera_pulida_y_lacada"
"V_MAT_PISO_2	V_MAT_PISO_C_Baldosa_vinilo_tableta_ladrillo_laminado"
"V_MAT_PISO_3	V_MAT_PISO_C_Alfombra"
"V_MAT_PISO_4	V_MAT_PISO_C_Cemento_gravilla"
"V_MAT_PISO_5	V_MAT_PISO_C_Madera_burda_tabla_tablon_otro_vegetal"
"V_MAT_PISO_6	V_MAT_PISO_C_Tierra_arena_barro"
"V_MAT_PISO_NA	V_MAT_PISO_C_NA"
"V_MAT_PARED_1	V_MAT_PARED_C_Madera"
"V_MAT_PARED_2	V_MAT_PARED_C_Tapia_pisada_bahareque_adobe"
"V_MAT_PARED_3	V_MAT_PARED_C_Bloque_ladrillo_piedra_madera_pulida_Concreto_vaciado"
"V_MAT_PARED_4	V_MAT_PARED_C_MATERIAL_PREFABRICADO"
"V_MAT_PARED_5	V_MAT_PARED_C_Materiales_de_deshecho_Zinc_tela_carton_latas_plasticos_otros"
"V_MAT_PARED_6	V_MAT_PARED_C_No_tiene_paredes"
"V_MAT_PARED_NA	V_MAT_PARED_C_NA"
"PA1_GRP_ETNIC_1	PA1_GRP_ETNIC_C_Indigena"
"PA1_GRP_ETNIC_2	PA1_GRP_ETNIC_C_Gitanoa_o_Rrom"
"PA1_GRP_ETNIC_3	PA1_GRP_ETNIC_C_Raizal_del_Archipielago_de_San_Andres_Providencia_y_Santa_Catalina"
"PA1_GRP_ETNIC_4	PA1_GRP_ETNIC_C_Palenqueroa_de_San_Basilio"
"PA1_GRP_ETNIC_5	PA1_GRP_ETNIC_C_Negroa_Mulatoa_Afrodescendiente_Afrocolombianoa"
"PA1_GRP_ETNIC_6	PA1_GRP_ETNIC_C_Ningun_grupo_etnico"
"PA1_GRP_ETNIC_9	PA1_GRP_ETNIC_C_NA"
"PA_ASISTENCIA_1	PA_ASISTENCIA_C_Si"
"PA_ASISTENCIA_2	PA_ASISTENCIA_C_No"
"PA_ASISTENCIA_9	PA_ASISTENCIA_C_NA"
"P_ALFABETA_1	P_ALFABETA_C_Si"
"P_ALFABETA_2	P_ALFABETA_C_No"
"P_ALFABETA_9	P_ALFABETA_C_9"
"P_ALFABETA_NA	P_ALFABETA_C_NA"
"P_EST_CIVIL_1	P_EST_CIVIL_C_Union_libre"
"P_EST_CIVIL_2	P_EST_CIVIL_C_Casado"
"P_EST_CIVIL_3	P_EST_CIVIL_C_Divorciado"
"P_EST_CIVIL_6	P_EST_CIVIL_C_Viudo"
"P_EST_CIVIL_7	P_EST_CIVIL_C_Soltero_Nunca_se_ha_casado_ni_ha_vivido_en_union_libre"
"P_EST_CIVIL_8	P_EST_CIVIL_C_Separado_de_union_libre_Separado_de_matrimonio"
"P_EST_CIVIL_9	P_EST_CIVIL_C_9"
"P_EST_CIVIL_NA	P_EST_CIVIL_C_NA"
"P_PARENTESCOR_1	P_PARENTESCO_C_Jefea_del_hogar"
