"viejo	nuevo"
"id	id"
"caseid	caseid"
"H_AGUA_COCIN_C_1	H_AGUA_COCIN_C_Acueducto_publico"
"H_AGUA_COCIN_C_10	H_AGUA_COCIN_C_Aguatero"
"H_AGUA_COCIN_C_11	H_AGUA_COCIN_C_Agua_embotellada_o_en_bolsa"
"H_AGUA_COCIN_C_22	H_AGUA_COCIN_C_Acueducto_veredal_y_Red_de_distribucion_comunitaria"
"H_AGUA_COCIN_C_4	H_AGUA_COCIN_C_Pozo_con_bomba"
"H_AGUA_COCIN_C_5	H_AGUA_COCIN_C_Pozo_sin_bomba_aljibe_jaguey_o_barreno"
"H_AGUA_COCIN_C_6	H_AGUA_COCIN_C_Agua_lluvia"
"H_AGUA_COCIN_C_7	H_AGUA_COCIN_C_Rio_quebrada_manantial_nacimiento"
"H_AGUA_COCIN_C_8	H_AGUA_COCIN_C_Pila_publica"
"H_AGUA_COCIN_C_9	H_AGUA_COCIN_C_Carrotanque"
"H_AGUA_COCIN_C_96	H_AGUA_COCIN_C_Other"
"V_TIPO_SERSA_C_1	V_TIPO_SERSA_C_Inodoro_conectado_al_alcantarillado"
"V_TIPO_SERSA_C_2	V_TIPO_SERSA_C_Inodoro_conectado_a_pozo_septico"
"V_TIPO_SERSA_C_3	V_TIPO_SERSA_C_Inodoro_sin_conexion"
"V_TIPO_SERSA_C_4	V_TIPO_SERSA_C_Letrina"
"V_TIPO_SERSA_C_5	V_TIPO_SERSA_C_Inodoro_con_descarga_directa_a_fuentes_de_agua_bajamar"
"V_TIPO_SERSA_C_6	V_TIPO_SERSA_C_Esta_vivienda_No_tiene_servicio_sanitario"
"V_TIPO_SERSA_C_96	V_TIPO_SERSA_C_Other"
"VA_EE_C_1	VA_EE_C_Si"
"VA_EE_C_2	VA_EE_C_No"
"V_MAT_PISO_C_1	V_MAT_PISO_C_Marmol_parquez_madera_pulida_y_lacada"
"V_MAT_PISO_C_2	V_MAT_PISO_C_Baldosa_vinilo_tableta_ladrillo_laminado"
"V_MAT_PISO_C_3	V_MAT_PISO_C_Alfombra"
"V_MAT_PISO_C_4	V_MAT_PISO_C_Cemento_gravilla"
"V_MAT_PISO_C_5	V_MAT_PISO_C_Madera_burda_tabla_tabl—n_otro_vegetal"
"V_MAT_PISO_C_6	V_MAT_PISO_C_Tierra_arena_barro"
"V_MAT_PISO_C_96	V_MAT_PISO_C_Otro"
"V_MAT_PARED_C_1	V_MAT_PARED_C_Madera_burda_tabla_tablon_Caña_esterilla_otros_vegetales"
"V_MAT_PARED_C_2	V_MAT_PARED_C_Tapia_pisada_bahareque_adobe"
"V_MAT_PARED_C_3	V_MAT_PARED_C_Bloque_ladrillo_piedra_madera_pulida_Concreto_vaciado"
"V_MAT_PARED_C_4	V_MAT_PARED_C_MATERIAL_PREFABRICADO"
"V_MAT_PARED_C_5	V_MAT_PARED_C_Materiales_de_deshecho_Zinc_tela_carton_latas_plasticos_otros"
"V_MAT_PARED_C_6	V_MAT_PARED_C_No_tiene_paredes"
"V_MAT_PARED_C_96	V_MAT_PARED_C_Otro"
"PA1_GRP_ETNIC_C_1	PA1_GRP_ETNIC_C_Indigena"
"PA1_GRP_ETNIC_C_2	PA1_GRP_ETNIC_C_Gitanoa_o_Rrom"
"PA1_GRP_ETNIC_C_3	PA1_GRP_ETNIC_C_Raizal_del_Archipielago_de_San_Andres_Providencia_y_Santa_Catalina"
"PA1_GRP_ETNIC_C_4	PA1_GRP_ETNIC_C_Palenqueroa_de_San_Basilio"
"PA1_GRP_ETNIC_C_5	PA1_GRP_ETNIC_C_Negroa_Mulatoa_Afrodescendiente_Afrocolombianoa"
